,day,closing,alpha,f,yield,datetime
261,2020/2/6,2866.51,0.061628999999999996,0.036263,0.007398999999999999,2020-02-06
262,2020/2/7,2875.96,1.382585,-0.7013,0.001429,2020-02-07
263,2020/2/10,2890.49,0.93279,-0.09043999999999999,0.002189,2020-02-10
264,2020/2/11,2901.67,0.8532700000000001,-0.13863,0.0016769999999999999,2020-02-11
265,2020/2/12,2926.9,4.0299999999999995e-13,0.428412,0.0037600000000000003,2020-02-12
266,2020/2/13,2906.07,1.2498340000000001,-1.3218,-0.0031,2020-02-13
267,2020/2/14,2917.01,7.07e-10,-0.4,0.001632,2020-02-14
268,2020/2/17,2983.62,0.284719,0.19509500000000002,0.009806,2020-02-17
269,2020/2/18,2984.97,0.679713,-0.02065,0.000196,2020-02-18
270,2020/2/19,2975.4,0.828815,-0.2787,-0.00139,2020-02-19
271,2020/2/20,3030.15,1.112698,-1.20698,0.007918999999999999,2020-02-20
272,2020/2/21,3039.67,2.0200000000000002e-11,-0.66191,0.001362,2020-02-21
273,2020/2/24,3031.23,0.6046239999999999,-0.64339,-0.00121,2020-02-24
274,2020/2/25,3013.05,0.008768000000000001,-0.46973000000000004,-0.0026100000000000003,2020-02-25
275,2020/2/26,2987.93,0.387303,0.339022,-0.00364,2020-02-26
276,2020/2/27,2991.33,3.7199999999999996e-10,-0.72983,0.0004940000000000001,2020-02-27
277,2020/2/28,2880.3,0.9462940000000001,-0.38703000000000004,-0.01643,2020-02-28
278,2020/3/2,2970.93,2.530092,-0.99129,0.013455000000000002,2020-03-02
279,2020/3/3,2992.9,0.572231,0.574447,0.0032,2020-03-03
280,2020/3/4,3011.67,1.23e-11,-0.43409,0.002715,2020-03-04
281,2020/3/5,3071.68,0.70028,0.004157,0.008569,2020-03-05
282,2020/3/6,3034.51,0.523566,0.19639700000000002,-0.0052899999999999996,2020-03-06
283,2020/3/9,2943.29,6.05e-14,-0.67375,-0.01326,2020-03-09
284,2020/3/10,2996.76,6.25e-17,0.7703939999999999,0.007819,2020-03-10
285,2020/3/11,2968.52,1.7206080000000001,-1.4991299999999999,-0.00411,2020-03-11
286,2020/3/12,2923.49,0.665804,0.14740999999999999,-0.006640000000000001,2020-03-12
287,2020/3/13,2887.43,0.6604939999999999,1.459502,-0.00539,2020-03-13
